SKU,Main Image URL,Other Image URL1,Other Image URL2,Other Image URL3,Other Image URL4,Other Image URL5,Other Image URL6,Other Image URL7,Other Image URL8,Swatch Image URL
CUPC-U18-SM,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U18-Main-V0-20241009.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U18-ListingImage-Pic1-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U18-ListingImage-Pic2-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U18-ListingImage-Size-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U18-ListingImage-Pic3-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U18-ListingImage-Pic4-V0.jpg,,,,
CUPC-U9-LXL,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U9-Main-V0-20241008.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U9-ListingImage-Pic1-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U9-ListingImage-Pic2-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U9-ListingImage-Size-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U9-ListingImage-Pic3-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U9-ListingImage-Pic4-V0.jpg,,,,
CUPC-U9-ML,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U9-Main-V0-20241008.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U9-ListingImage-Pic1-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U9-ListingImage-Pic2-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U9-ListingImage-Size-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U9-ListingImage-Pic3-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U9-ListingImage-Pic4-V0.jpg,,,,
CUPC-U9-SM,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U9-Main-V0-20241008.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U9-ListingImage-Pic1-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U9-ListingImage-Pic2-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U9-ListingImage-Size-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U9-ListingImage-Pic3-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U9-ListingImage-Pic4-V0.jpg,,,,
CUPC-U8-LXL,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U8-Main-V0-20241009.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U8-ListingImage-Pic1-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U8-ListingImage-Pic2-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U8-ListingImage-Size-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U8-ListingImage-Pic3-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U8-ListingImage-Pic4-V0.jpg,,,,
CUPC-U8-ML,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U8-Main-V0-20241009.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U8-ListingImage-Pic1-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U8-ListingImage-Pic2-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U8-ListingImage-Size-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U8-ListingImage-Pic3-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U8-ListingImage-Pic4-V0.jpg,,,,
CUPC-U8-SM,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U8-Main-V0-20241009.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U8-ListingImage-Pic1-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U8-ListingImage-Pic2-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U8-ListingImage-Size-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U8-ListingImage-Pic3-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U8-ListingImage-Pic4-V0.jpg,,,,
CUPC-U16-LXL,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U16-Main-V0-20241009.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U16-ListingImage-Pic1-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U16-ListingImage-Pic2-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U16-ListingImage-Size-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U16-ListingImage-Pic3-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U16-ListingImage-Pic4-V0.jpg,,,,
CUPC-U16-ML,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U16-Main-V0-20241009.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U16-ListingImage-Pic1-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U16-ListingImage-Pic2-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U16-ListingImage-Size-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U16-ListingImage-Pic3-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U16-ListingImage-Pic4-V0.jpg,,,,
CUPC-U16-SM,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U16-Main-V0-20241009.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U16-ListingImage-Pic1-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U16-ListingImage-Pic2-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U16-ListingImage-Size-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U16-ListingImage-Pic3-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U16-ListingImage-Pic4-V0.jpg,,,,
CUPC-U2-LXL,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U2-Main-V0-20241010.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U2-ListingImage-Pic1-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U2-ListingImage-Pic2-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U2-ListingImage-Size-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U2-ListingImage-Pic3-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U2-ListingImage-Pic4-V0.jpg,,,,
CUPC-U2-ML,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U2-Main-V0-20241010.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U2-ListingImage-Pic1-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U2-ListingImage-Pic2-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U2-ListingImage-Size-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U2-ListingImage-Pic3-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U2-ListingImage-Pic4-V0.jpg,,,,
CUPC-U2-SM,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U2-Main-V0-20241010.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U2-ListingImage-Pic1-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U2-ListingImage-Pic2-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U2-ListingImage-Size-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U2-ListingImage-Pic3-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U2-ListingImage-Pic4-V0.jpg,,,,
CUPC-U13-LXL,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U13-Main-V0-20240409.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U13-ListingImage-Pic1-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U13-ListingImage-Pic2-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U13-ListingImage-Size-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U13-ListingImage-Pic3-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U13-ListingImage-Pic4-V0.jpg,,,,
CUPC-U13-ML,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U13-Main-V0-20240409.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U13-ListingImage-Pic1-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U13-ListingImage-Pic2-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U13-ListingImage-Size-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U13-ListingImage-Pic3-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U13-ListingImage-Pic4-V0.jpg,,,,
CUPC-U13-SM,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U13-Main-V0-20240409.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U13-ListingImage-Pic1-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U13-ListingImage-Pic2-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U13-ListingImage-Size-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U13-ListingImage-Pic3-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U13-ListingImage-Pic4-V0.jpg,,,,
